"Direction","Year","Date","Weekday","Country","Commodity","Transport_Mode","Measure","Value","Cumulative"
"Reimports","2018","04/07/2018","Wednesday","All","All","All","$","1000000","104000000"
"Reimports","2018","05/07/2018","Thursday","All","All","All","$","1000000","105000000"
"Reimports","2018","10/07/2018","Tuesday","All","All","All","$","1000000","107000000"
"Reimports","2018","11/07/2018","Wednesday","All","All","All","$","1000000","107000000"
"Reimports","2018","13/07/2018","Friday","All","All","All","$","1000000","109000000"
"Reimports","2018","16/07/2018","Monday","All","All","All","$","1000000","109000000"
"Reimports","2018","17/07/2018","Tuesday","All","All","All","$","1000000","110000000"
"Reimports","2018","18/07/2018","Wednesday","All","All","All","$","1000000","111000000"
"Reimports","2018","27/07/2018","Friday","All","All","All","$","1000000","114000000"
"Reimports","2018","30/07/2018","Monday","All","All","All","$","1000000","115000000"
"Reimports","2018","02/08/2018","Thursday","All","All","All","$","1000000","117000000"
"Reimports","2018","03/08/2018","Friday","All","All","All","$","1000000","118000000"
"Reimports","2018","10/08/2018","Friday","All","All","All","$","1000000","122000000"
"Reimports","2018","13/08/2018","Monday","All","All","All","$","1000000","123000000"
"Reimports","2018","14/08/2018","Tuesday","All","All","All","$","1000000","124000000"
"Reimports","2018","17/08/2018","Friday","All","All","All","$","1000000","125000000"
"Reimports","2018","20/08/2018","Monday","All","All","All","$","1000000","126000000"
"Reimports","2018","21/08/2018","Tuesday","All","All","All","$","1000000","127000000"
"Reimports","2018","22/08/2018","Wednesday","All","All","All","$","1000000","128000000"
"Reimports","2018","23/08/2018","Thursday","All","All","All","$","1000000","129000000"
"Reimports","2018","24/08/2018","Friday","All","All","All","$","1000000","129000000"
"Reimports","2018","28/08/2018","Tuesday","All","All","All","$","1000000","130000000"
"Reimports","2018","29/08/2018","Wednesday","All","All","All","$","1000000","131000000"
"Reimports","2018","01/09/2018","Saturday","All","All","All","$","1000000","133000000"
"Reimports","2018","04/09/2018","Tuesday","All","All","All","$","1000000","134000000"
"Reimports","2018","05/09/2018","Wednesday","All","All","All","$","1000000","135000000"
"Reimports","2018","06/09/2018","Thursday","All","All","All","$","1000000","136000000"
"Reimports","2018","07/09/2018","Friday","All","All","All","$","1000000","136000000"
"Reimports","2018","13/09/2018","Thursday","All","All","All","$","1000000","139000000"
"Reimports","2018","14/09/2018","Friday","All","All","All","$","1000000","140000000"
"Reimports","2018","18/09/2018","Tuesday","All","All","All","$","1000000","142000000"
"Reimports","2018","21/09/2018","Friday","All","All","All","$","1000000","143000000"
"Reimports","2018","24/09/2018","Monday","All","All","All","$","1000000","144000000"
"Reimports","2018","01/10/2018","Monday","All","All","All","$","1000000","148000000"
"Reimports","2018","04/10/2018","Thursday","All","All","All","$","1000000","152000000"
"Reimports","2018","09/10/2018","Tuesday","All","All","All","$","1000000","153000000"
"Reimports","2018","10/10/2018","Wednesday","All","All","All","$","1000000","154000000"
"Reimports","2018","17/10/2018","Wednesday","All","All","All","$","1000000","156000000"
"Reimports","2018","24/10/2018","Wednesday","All","All","All","$","1000000","159000000"
"Reimports","2018","29/10/2018","Monday","All","All","All","$","1000000","160000000"
"Reimports","2018","31/10/2018","Wednesday","All","All","All","$","1000000","163000000"
"Reimports","2018","02/11/2018","Friday","All","All","All","$","1000000","165000000"
"Reimports","2018","05/11/2018","Monday","All","All","All","$","1000000","165000000"
"Reimports","2018","06/11/2018","Tuesday","All","All","All","$","1000000","166000000"
"Reimports","2018","08/11/2018","Thursday","All","All","All","$","1000000","167000000"
"Reimports","2018","12/11/2018","Monday","All","All","All","$","1000000","169000000"
"Reimports","2018","14/11/2018","Wednesday","All","All","All","$","1000000","170000000"
"Reimports","2018","15/11/2018","Thursday","All","All","All","$","1000000","171000000"
"Reimports","2018","16/11/2018","Friday","All","All","All","$","1000000","172000000"
"Reimports","2018","19/11/2018","Monday","All","All","All","$","1000000","173000000"
"Reimports","2018","23/11/2018","Friday","All","All","All","$","1000000","175000000"
"Reimports","2018","27/11/2018","Tuesday","All","All","All","$","1000000","179000000"
"Reimports","2018","28/11/2018","Wednesday","All","All","All","$","1000000","179000000"
"Reimports","2018","03/12/2018","Monday","All","All","All","$","1000000","181000000"
"Reimports","2018","04/12/2018","Tuesday","All","All","All","$","1000000","182000000"
"Reimports","2018","05/12/2018","Wednesday","All","All","All","$","1000000","184000000"
"Reimports","2018","06/12/2018","Thursday","All","All","All","$","1000000","185000000"
"Reimports","2018","10/12/2018","Monday","All","All","All","$","1000000","187000000"
"Reimports","2018","15/12/2018","Saturday","All","All","All","$","1000000","191000000"
"Reimports","2018","18/12/2018","Tuesday","All","All","All","$","1000000","192000000"
"Reimports","2018","19/12/2018","Wednesday","All","All","All","$","1000000","193000000"
"Reimports","2018","24/12/2018","Monday","All","All","All","$","1000000","196000000"
"Reimports","2018","28/12/2018","Friday","All","All","All","$","1000000","197000000"
"Reimports","2018","17/01/2018","Wednesday","All","All","All","$","2000000","7000000"
"Reimports","2018","18/01/2018","Thursday","All","All","All","$","2000000","9000000"
"Reimports","2018","01/03/2018","Thursday","All","All","All","$","2000000","30000000"
"Reimports","2018","29/03/2018","Thursday","All","All","All","$","2000000","42000000"
"Reimports","2018","09/04/2018","Monday","All","All","All","$","2000000","46000000"
"Reimports","2018","18/04/2018","Wednesday","All","All","All","$","2000000","53000000"
"Reimports","2018","01/05/2018","Tuesday","All","All","All","$","2000000","69000000"
